,Expt Date,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920
,CNOT7X,0,0,2.00E-06,3.00E-06,5.00E-06,5.00E-06,7.00E-06,7.00E-06,1.00E-05,1.00E-05
,CAPRIN1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,RNA,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
,Time Array,1,1,2,2,2,2,1,1,1,1
1,DD,529,441,824,722,746,790,401,447,434,447
1,DA,515,493,844,785,749,770,604,477,473,449
1,AA,2899,2851,4745,4477,4183,4367,3820,2637,2707,2517
2,DD,414,400,763,732,761,769,487,559,532,478
2,DA,688,619,913,890,767,950,658,663,635,528
2,AA,4405,3927,5487,5213,4418,5800,4287,4224,3800,3137
3,DD,437,405,775,741,1176,991,595,659,1142,1061
3,DA,618,620,981,886,1089,904,607,509,704,578
3,AA,3752,3896,6028,5066,6713,5311,3722,2865,4094,3122
4,DD,446,523,698,831,2036,1922,1462,1353,2342,2377
4,DA,600,688,851,906,1021,965,732,664,760,724
4,AA,3625,4402,5258,5517,5732,5238,4151,3725,3801,3531
5,DD,448,392,793,1057,3263,3342,1905,2099,2631,2761
5,DA,612,638,840,796,956,1261,749,773,711,730
5,AA,3613,3992,4902,4610,4614,6691,4202,4075,3311,3374
6,DD,429,384,971,1584,4312,4536,2645,2690,3277,3232
6,DA,589,627,1025,977,1327,1343,739,829,806,809
6,AA,3575,4032,6255,5550,6810,6462,3570,4133,3578,3703
7,DD,443,409,1175,2563,4781,4698,2604,2546,3247,3209
7,DA,618,636,1063,1079,1269,1386,833,847,865,776
7,AA,3704,4040,6453,5506,5870,6822,4238,4400,4064,3393
8,DD,437,423,1311,3418,5281,5646,2478,3089,2950,3196
8,DA,725,641,878,1213,1359,1247,788,788,751,832
8,AA,4597,4135,5212,6122,6203,5243,4065,3677,3425,3851
9,DD,442,417,2252,4111,797,4982,2879,2715,3221,2971
9,DA,597,675,1101,1243,333,1280,828,871,822,874
9,AA,3621,4183,5969,6089,2085,5703,4105,4442,3812,4425
10,DD,443,400,2665,4504,5499,4900,2609,2978,2723,3346
10,DA,563,614,1137,1407,1283,1200,675,854,770,828
10,AA,3394,3972,6089,7114,5648,5304,3129,4156,3668,3603
11,DD,451,422,3283,4488,5175,4944,3127,2859,3060,2982
11,DA,677,646,1178,1232,1340,1306,908,859,940,867
11,AA,4301,4036,6001,5708,6409,6187,4486,4231,4700,4263
12,DD,436,454,3843,4920,5061,5087,3121,2984,3012,3162
12,DA,586,644,1212,1370,1341,1252,825,746,921,802
12,AA,3532,4048,5831,6412,6148,5445,3892,3380,4480,3634
13,DD,443,467,3840,4990,5178,4947,3103,2854,2857,3032
13,DA,648,641,1380,1274,1337,1298,949,840,846,834
13,AA,4078,3952,7250,5875,6374,5969,4754,4186,4300,3945
14,DD,466,496,4522,5089,5122,4986,3169,3104,3268,3139
14,DA,644,667,1411,1380,1418,1323,857,813,824,926
14,AA,4013,4182,7009,6449,6722,6372,4087,3731,3694,4595
15,DD,556,480,4749,5381,5365,972,3326,3037,3040,3038
15,DA,659,578,1460,1391,1339,606,923,848,870,895
15,AA,4032,3471,7122,6307,6043,4144,4476,4131,4229,4469
16,DD,625,677,4529,5351,5467,5537,3232,2099,3414,2740
16,DA,736,699,1473,1366,1392,1301,862,822,854,848
16,AA,4643,4340,7510,6188,6412,5531,4068,3858,3772,3831
