1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0
151.63,211.63,271.63,345.31,525.31,181.63,136.63,585.31,825.31
279.788,399.788,519.788,603.942,964.556,339.788,249.788,1083.94,1563.942
407.946,587.946,767.946,862.574,1403.802,497.946,362.946,1582.57,2302.574
536.104,776.104,1016.104,1121.206,1843.048,656.104,476.104,2081.21,3041.206
664.262,964.262,1264.262,1379.838,2282.294,814.262,589.262,2579.84,3779.838
792.42,1152.42,1512.42,1638.47,2721.54,972.42,702.42,3078.47,4518.47
920.578,1340.578,1760.578,1897.102,3160.786,1130.578,815.578,3577.1,5257.102
1048.736,1528.736,2008.736,2155.734,3600.032,1288.736,928.736,4075.73,5995.734
1176.894,1716.894,2256.894,2414.366,4039.278,1446.894,1041.894,4574.37,6734.366
1305.052,1905.052,2505.052,2672.998,4478.524,1605.052,1155.052,5073,7472.998
1433.21,2093.21,2753.21,2931.63,4917.77,1763.21,1268.21,5571.63,8211.63
1561.368,2281.368,3001.368,3190.262,5357.016,1921.368,1381.368,6070.26,8950.262
1689.526,2469.526,3249.526,3448.894,5796.262,2079.526,1494.526,6568.89,9688.894
1817.684,2657.684,3497.684,3707.526,6235.508,2237.684,1607.684,7067.53,10427.526
1945.842,2845.842,3745.842,3966.158,6674.754,2395.842,1720.842,7566.16,11166.158
